status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,Landespolizeidirektion Burgenland,Landespolizeidirektion Burgenland,,,Neusiedler Straße 84,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_2_19-08-2020,,,LPD-B@polizei.gv.at,"Phone: +4359133100, Fax: +4359133101009",,,,,,,,,,,,
,,Wirtschaftskammer Burgenland,Wirtschaftskammer Burgenland,,,Robert-Graf-Platz 1,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_3_18-08-2020,,,wkbgld@wkbgld.at,"Phone: +435909072000, Fax: +435909072015",,,,,,,,,,,,
,,Rechtanswaltskammer Burgenland,Rechtanswaltskammer Burgenland,,,Marktstraße 3,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_4_18-08-2020,,,rak.bgld@aon.at,"Phone: +43720211990, Fax: +43720211991",,,,,,,,,,,,
,,Landeszahnärztekammer Burgenland,Landeszahnärztekammer Burgenland,,,Schlossplatz 1,Bad Tatzmannsdorf,,7431,Burgenland,AUSTRIA,,,burgenland_burgenland_5_18-08-2020,,,office@bgld.zahnaerztekammer.at,"Phone: +43505117000, Fax: +43505117002",,,,,,,,,,,,
,,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ",,,Landesgerichtsstraße 20,Wien,,1010,Wien,AUSTRIA,,,burgenland_burgenland_6_18-08-2020,,,kammer-wnb@notar.or.at,"Phone: +43140245090, Fax: +4314063475",,,,,,,,,,,,
,,Ärztekammer Burgenland,Ärztekammer Burgenland,,,Johann Permayerstraße 3,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_7_18-08-2020,,,office@aekbgld.at,"Phone: +43268262521, Fax: +4326826252190",,,,,,,,,,,,
,,Apothekerkammer Burgenland,Apothekerkammer Burgenland,,,Permayerstraße 3,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_8_18-08-2020,,,burgenland@apothekerkammer.at,"Phone: +43268261645, Fax: +43268266115",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Burgenland,Kammer der Steuerberater und Wirtschaftsprüfer Burgenland,,,Schönbrunnerstraße 222-228/1/6/2,Wien,,1120,Wien,AUSTRIA,,,burgenland_burgenland_9_18-08-2020,,,office@ksw.or.at,"Phone: +431811730, Fax: +43181173100",,,,,,,,,,,,
,,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland",,,Karlsgasse 9/1,Wien,,1040,Wien,AUSTRIA,,,burgenland_burgenland_10_18-08-2020,,,kammer@arching.at,"Phone: +4315051781, Fax: +4315051005",,,,,,,,,,,,
,,Arbeiterkammer Burgenland,Kammer für Arbeiter und Angestellte für das Burgenland,,,Wiener Straße 7,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_11_18-08-2020,,,akbgld@akbgld.at,"Phone: +432682740, Fax: ",,,,,,,,,,,,
,,Bildungsdirektion für Kärnten,Bildungsdirektion für Kärnten,,,10. -Oktober-Straße 24,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_1_19-08-2020,,,office@bildung-ktn.gv.at,"Phone: +4350534, Fax: +435053411111",,,,,,,,,,,,
,,Landespolizeidirektion Kärnten,Landespolizeidirektion Kärnten,,,Buchengasse 3,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_2_19-08-2020,,,LPD-K@polizei.gv.at,"Phone: +4359133200, Fax: +4359133201009",,,,,,,,,,,,
,,Wirtschaftskammer Kärnten,Wirtschaftskammer Kärnten,,,Europaplatz 1,Klagenfurt am Wörthersee Postfach,,9021,Kärnten,AUSTRIA,,,kaernten_kaernten_3_18-08-2020,,,wirtschaftskammer@wkk.or.at,"Phone: +435909040, Fax: +43590904704",,,,,,,,,,,,
,,Rechtanswaltskammer Kärnten,Rechtanswaltskammer Kärnten,,,Theatergasse 4,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_4_18-08-2020,,,kammer@rechtsanwaelte-kaernten.at,"Phone: +43463512425, Fax: +4346351242515",,,,,,,,,,,,
,,Landeszahnärztekammer Kärnten,Landeszahnärztekammer Kärnten,,,Neuer Platz 7/1,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_5_18-08-2020,,,office@ktn.zahnaerztekammer.at,"Phone: +43505119020, Fax: +43505119023",,,,,,,,,,,,
,,Ärztekammer Kärnten,Ärztekammer Kärnten,,,St. Veiter Straße 34/II,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_6_18-08-2020,,,aek@aekktn.at,"Phone: +46358560, Fax: +463514222",,,,,,,,,,,,
,,Apothekerkammer Kärnten,Apothekerkammer Kärnten,,,Alter Platz 24/II,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_7_18-08-2020,,,kaernten@apothekerkammer.at,"Phone: +43463513366, Fax: +4346351336620",,,,,,,,,,,,
,,Arbeiterkammer Kärnten,Kammer für Arbeiter und Angestellte für Kärnten,,,Bahnhofplatz 3,Klagenfurt am Wörthersee Postfach,,9021,Kärnten,AUSTRIA,,,kaernten_kaernten_8_18-08-2020,,,arbeiterkammer@akktn.at,"Phone: +4350477, Fax: +43504772400",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Kärnten,Kammer der Steuerberater und Wirtschaftsprüfer Kärnten,,,"Lakeside B11 a, 1. OG",Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_9_18-08-2020,,,kaernten@ksw.or.at,"Phone: +43463512944, Fax: +434635129445",,,,,,,,,,,,
,,Kammer der ZiviltechnikerInnen für Steiermark und Kärnten,Kammer der ZiviltechnikerInnen für Steiermark und Kärnten,,,Schönaugasse 7/1,Graz,,8010,Steiermark,AUSTRIA,,,kaernten_kaernten_10_18-08-2020,,,office@ztkammer.at,"Phone: +43316826344, Fax: +4331682634425",,,,,,,,,,,,
,,Landarbeiterkammer Kärnten,Landarbeiterkammer Kärnten,,,Bahnhofstrasse 44/III,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_11_18-08-2020,,,lak@lakktn.at,"Phone: +434635870419, Fax: +434635870420",,,,,,,,,,,,
,,Notariatskammer für Kärnten,Notariatskammer für Kärnten,,,Lakeside B 11 a,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,kaernten_kaernten_12_18-08-2020,,,office@ktn-notare.at,"Phone: +43463512797, Fax: +434635127974",,,,,,,,,,,,
,,Bildungsdirektion für Niederösterreich,Bildungsdirektion für Niederösterreich,,,Rennbahnstraße 29,St. Pölten,,3109,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_1_19-09-2020,,,office@bildung-noe.gv.at,"Phone: ‘+4327422800, Fax: ‘+4327422801111",,,,,,,,,,,,
,,Landespolizeidirektion Niederösterreich,Landespolizeidirektion Niederösterreich,,,Neue Herrengasse 15,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_2_19-09-2020,,,LPD-N@polizei.gv.at,"Phone: +4359133300, Fax: +4359133301009",,,,,,,,,,,,
,,VP NÖ,Volkspartei Niederösterreich,,,Ferstlergasse 4,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_3_19-09-2020,,,vp.direkt@vpnoe.at,"Phone: +4327429020, Fax: ",,,,,,,,,,,,
,,SPÖ NÖ,"Sozialdemokratischen Partei Österreichs, Landesorganisation Niederösterreich",,,Niederösterreichring 1a,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_4_19-09-2020,,,servicenoe@spoe.at,"Phone: +4327422255, Fax: ",,,,,,,,,,,,
,,Grüne NÖ,Die Grünen Niederösterreich,,,Daniel Gran Straße 48,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_5_19-09-2020,,,noe@gruene.at,"Phone: ‘+432742310660, Fax: ‘+43274231066011",,,,,,,,,,,,
,,FPÖ NÖ,FPÖ-Landesgruppe NÖ,,,Purkersdorferstraße 38,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_6_19-09-2020,,,fpoe-niederoesterreich@fpoe.at,"Phone: ‘+432742256280, Fax: +43274225628034",,,,,,,,,,,,
,,Wirtschaftskammer Niederösterreich,Wirtschaftskammer Niederösterreich,,,Wirtschaftskammer-Platz 1,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_7_18-08-2020,,,wknoe@wknoe.at,"Phone: +4327428510, Fax: +43274285115899",,,,,,,,,,,,
,,Rechtanswaltskammer Niederösterreich,Rechtanswaltskammer Niederösterreich,,,Andreas-Hofer-Straße 6,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_8_18-08-2020,,,office@raknoe.at,"Phone: +432742716500, Fax: +43274276588",,,,,,,,,,,,
,,Landeszahnärztekammer Niederösterreich,Landeszahnärztekammer Niederösterreich,,,Kremser Gasse 20,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_9_18-08-2020,,,office@noe.zahnaerztekammer.at,"Phone: +43505113100, Fax: +43505113109",,,,,,,,,,,,
,,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ",,,Landesgerichtsstraße 20,Wien,,1010,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_10_18-08-2020,,,kammer-wnb@notar.or.at,"Phone: +43140245090, Fax: +4314063475",,,,,,,,,,,,
,,Ärztekammer Niederösterreich,Ärztekammer Niederösterreich,,,Wipplingerstraße 2,Wien,,1010,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_11_18-08-2020,,,arztnoe@arztnoe.at,"Phone: +431537510, Fax: +4315375119",,,,,,,,,,,,
,,Apothekerkammer Niederösterreich,Apothekerkammer Niederösterreich,,,Spitalgasse 31,Wien Postfach,,1091,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_12_18-08-2020,,,noe@apothekerkammer.at,"Phone: +43140414162, Fax: +4314088818",,,,,,,,,,,,
,,Arbeiterkammer Niederösterreich,Kammer für Arbeiter und Angestellte für Niederösterreich,,,AK-Platz 1,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_13_18-08-2020,,,mailbox@aknoe.at,"Phone: +4357171, Fax: ",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich,Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich,,,Schönbrunnerstraße 222-228/1/6/2,Wien,,1120,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_14_18-08-2020,,,office@ksw.or.at,"Phone: +431811730, Fax: +43181173100",,,,,,,,,,,,
,,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland",,,Karlsgasse 9/1,Wien,,1040,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_15_18-08-2020,,,kammer@arching.at,"Phone: +4315051781, Fax: +4315051005",,,,,,,,,,,,
,,NÖ Landarbeiterkammer,Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in Niederösterreich,,,Marco d'Avianogasse 1/1,Wien,,1010,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_16_18-08-2020,,,lak@lak-noe.at,"Phone: +431512160110, Fax: +4315139366",,,,,,,,,,,,
,,BH Braunau,Bezirkshauptmannschaft Braunau,,,Hammersteinplatz 1,Braunau am Inn,,5280,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_1_19-08-2020,,,bh-br.post@ooe.gv.at,"Phone: +4377228030, Fax: ",,,,,,,,,,,,
,,BH Freistadt,Bezirkshauptmannschaft Freistadt,,,Promenade 5,Freistadt,,4240,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_2_19-08-2020,,,bh-fr.post@ooe.gv.at,"Phone: +4379427020, Fax: +437942702262399",,,,,,,,,,,,
,,BH Gmunden,Bezirkshauptmannschaft Gmunden,,,Esplanade 10,Gmunden,,4810,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_3_19-08-2020,,,bh-gm.post@ooe.gv.at,"Phone: +4376127920, Fax: +437327720263399",,,,,,,,,,,,
,,BH Grieskirchen und Eferding,Bezirkshauptmannschaften Grieskirchen und Eferding,,,Manglburg 14,Grieskirchen,,4710,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_4_19-08-2020,,,BH-GR-EF.Post@ooe.gv.at,"Phone: +4372486030, Fax: +437327720264399",,,,,,,,,,,,
,,BH Kirchdorf,Bezirkshauptmannschaft Kirchdorf,,,Garnisonstraße 3,Kirchdorf an der Krems,,4560,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_5_19-08-2020,,,bh-ki.post@ooe.gv.at,"Phone: +4375826850, Fax: +437582685265399",,,,,,,,,,,,
,,BH Linz-Land,Bezirkshauptmannschaft Linz-Land,,,Kärntnerstraße 14-16,Linz,,4020,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_6_19-08-2020,,,bh-ll.post@ooe.gv.at,"Phone: +43732694140, Fax: +4373269414266399",,,,,,,,,,,,
,,BH Perg,Bezirkshauptmannschaft Perg,,,Dirnbergerstraße 11,Perg,,4320,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_7_19-08-2020,,,bh-pe.post@ooe.gv.at,"Phone: +4372625510, Fax: +437262551267399",,,,,,,,,,,,
,,BH Ried,Bezirkshauptmannschaft Ried,,,Parkgasse 1,Ried im Innkreis,,4910,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_8_19-08-2020,,,bh-ri.post@ooe.gv.at,"Phone: +4377529120, Fax: +437327720268399",,,,,,,,,,,,
,,BH Rohrbach,Bezirkshauptmannschaft Rohrbach,,,Am Teich 1,Rohrbach in Oberösterreich,,4150,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_9_19-08-2020,,,bh-ro.post@ooe.gv.at,"Phone: +43728988510, Fax: +4372898851269399",,,,,,,,,,,,
,,BH Schärding,Bezirkshauptmannschaft Schärding,,,Ludwig-Pfliegl-Gasse 11,Schärding,,4780,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_10_19-08-2020,,,Personal.BH-SD.Post@ooe.gv.at,"Phone: +43771231050, Fax: +4377123105270399",,,,,,,,,,,,
,,BH Steyr-Land,Bezirkshauptmannschaft Steyr-Land,,,Spitalskystraße 10a,Steyr,,4400,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_11_19-08-2020,,,bh-se.post@ooe.gv.at,"Phone: +437252523610, Fax: +43725252361271399",,,,,,,,,,,,
,,BH Urfahr-Umgebung,Bezirkshauptmannschaft Urfahr-Umgebung,,,Peuerbachstraße 26,Linz,,4040,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_12_19-08-2020,,,bh-uu.post@ooe.gv.at,"Phone: +437327313010, Fax: +43732731301272399",,,,,,,,,,,,
,,BH Vöcklabruck,Bezirkshauptmannschaft Vöcklabruck,,,Sportplatzstraße 1-3,Vöcklabruck,,4840,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_13_19-08-2020,,,bh-vb.post@ooe.gv.at,"Phone: +4376727020, Fax: +437672702273399",,,,,,,,,,,,
,,BH Wels-Land,Bezirkshauptmannschaft Wels-Land,,,Herrengasse 8,Wels,,4600,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_14_19-08-2020,,,bh-wl.post@ooe.gv.at,"Phone: +4372426180, Fax: +437242618274399",,,,,,,,,,,,
,,Bildungsdirektion Oberösterreich,Bildungsdirektion Oberösterreich,,,Sonnensteinstraße 20,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_1_19-08-2020,,,bd.post@bildung-ooe.gv.at,"Phone: +4373270714131, Fax: +4373270714140",,,,,,,,,,,,
,,Landespolizeidirektion Oberösterreich,Landespolizeidirektion Oberösterreich,,,Gruberstraße 35,"Linz, Donau Postfach",,4021,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_2_19-08-2020,,,LPD-O@polizei.gv.at,"Phone: +4359133500, Fax: +4359133407800",,,,,,,,,,,,
,,Wirtschaftskammer Oberösterreich,Wirtschaftskammer Oberösterreich,,,Hessenplatz 3,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_3_18-08-2020,,,service@wkooe.at,"Phone: +43590909, Fax: +435909092800",,,,,,,,,,,,
,,Rechtanswaltskammer Oberösterreich,Rechtanswaltskammer Oberösterreich,,,Gruberstraße 21,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_4_18-08-2020,,,office@ooerak.or.at,"Phone: +43732771730, Fax: +4373277173085",,,,,,,,,,,,
,,Landeszahnärztekammer Oberösterreich,Landeszahnärztekammer Oberösterreich,,,Marienstraße 9/1,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_5_18-08-2020,,,office@ooe.zahnaerztekammer.at,"Phone: +43505114010, Fax: +43505114014",,,,,,,,,,,,
,,Notariatskammer für Oberösterreich,Notariatskammer für Oberösterreich,,,Schmiedegasse 20/5,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_6_18-08-2020,,,oberoesterreich@notariatskammer.at,"Phone: +43732737073, Fax: +43732708019",,,,,,,,,,,,
,,Ärztekammer Oberösterreich,Ärztekammer Oberösterreich,,,Dinghoferstraße 4,"Linz, Donau",,4010,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_7_18-08-2020,,,aekooe@aekooe.at,"Phone: +437327783710, Fax: +43732783660300",,,,,,,,,,,,
,,Apothekerkammer Oberösterreich,Apothekerkammer Oberösterreich,,,Mozartstraße 26/1,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_8_18-08-2020,,,ooe@apothekerkammer.at,"Phone: +43732770350, Fax: +4314028602951",,,,,,,,,,,,
,,Arbeiterkammer Oberösterreich,Kammer für Arbeiter und Angestellte für Oberösterreich,,,Volksgartenstraße 40,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_9_18-08-2020,,,online@akooe.at,"Phone: +43506906, Fax: +435069062860",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich,Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich,,,Landstraße 49/III,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_10_18-08-2020,,,ooe@ksw.or.at,"Phone: +43732773385, Fax: +4373277338515",,,,,,,,,,,,
,,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,,,Kaarstraße 2/II,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_11_18-08-2020,,,linz@arching-zt.at,"Phone: +43732738394, Fax: +437327383944",,,,,,,,,,,,
,,OÖ Landarbeiterkammer,Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in OÖ,,,Scharitzerstraße 9,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_12_18-08-2020,,,office@lak-ooe.at,"Phone: +43732656381, Fax: ",,,,,,,,,,,,
,,Alevitische Glaubensgemeinschaft in Österreich,Alevitische Glaubensgemeinschaft in Österreich,,,Schererstraße 4,Wien,,1210,Wien,AUSTRIA,,,kirchen_privat_1_18-08-2020,,,info@evang.at,"Phone: +436602852624, Fax: ",,,,,,,,,,,,
,,Altkatholische Kirche Österreich,Altkatholische Kirche Österreich,,,Schottenring 17,Wien,,1010,Wien,AUSTRIA,,,kirchen_privat_2_18-08-2020,,,kirchenleitung@altkatholiken.at,"Phone: +4313178394, Fax: ",,,,,,,,,,,,
,,Armenisch-apostolische Kirche in Österreich,Armenisch-apostolische Kirche in Österreich ,,,Kolonitzgasse 11,Wien,,1030,Wien,AUSTRIA,,,kirchen_privat_3_18-08-2020,,,office@aakg.at,"Phone: +4317180965, Fax: +4318906886",,,,,,,,,,,,
,,Evangelische Kirche A.B. und H.B.,Evangelische Kirche A.B. und H.B.,,,Severin-Schreiber-Gasse 1+3,Wien,,1180,Wien,AUSTRIA,,,kirchen_privat_4_18-08-2020,,,info@evang.at,"Phone: +4359151700, Fax: ",,,,,,,,,,,,
,,Evangelisch-methodistische Kirche in Österreich,Evangelisch-methodistische Kirche in Österreich,,,Sechshauser Straße 56/1/9,Wien,,1150,Wien,AUSTRIA,,,kirchen_privat_5_18-08-2020,,,superintendent@emk.at,"Phone: +4316045347, Fax: ",,,,,,,,,,,,
,,Freikirchen in Österreich,Freikirchen in Österreich,,,Karl-Popper-Straße 16,Wien,,1100,Wien,AUSTRIA,,,kirchen_privat_6_18-08-2020,,,datenschutz@freikirchen.at,"Phone: +4319436714, Fax: ",,,,,,,,,,,,
,,Griechisch-orientalische Kirche,Griechisch-orientalische Kirche,,,Fleischmarkt 13,Wien,,1010,Wien,AUSTRIA,,,kirchen_privat_7_18-08-2020,,,office@orthodoxe-kirche.at,"Phone: +4315333889, Fax: +4315333889",,,,,,,,,,,,
,,Islamische Glaubensgemeinschaft in Österreich,Islamische Glaubensgemeinschaft in Österreich,,,Bernardgasse 5,Wien,,1070,Wien,AUSTRIA,,,kirchen_privat_8_18-08-2020,,,office@derislam.at,"Phone: +4315263122, Fax: +43152631222",,,,,,,,,,,,
,,Israelitische Religionsgesellschaft,Israelitische Religionsgesellschaft,,,Seitenstettengasse 4,Wien,,1010,Wien,AUSTRIA,,,kirchen_privat_9_18-08-2020,,,office@ikg-wien.at,"Phone: +431531040, Fax: +43153104108",,,,,,,,,,,,
,,Jehovas Zeugen in Österreich,Jehovas Zeugen in Österreich,,,Kaiserstrasse 36/25,Wien,,1070,Wien,AUSTRIA,,,kirchen_privat_10_18-08-2020,,,Pid-at.de@jw.org,"Phone: +4318045345, Fax: ",,,,,,,,,,,,
,,Katholische Kirche,Katholische Kirche,,,Rotenturmstraße 2,Wien,,1010,Wien,AUSTRIA,,,kirchen_privat_11_18-08-2020,,,sekretariat@bischofskonferenz.at,"Phone: +431516111010, Fax: +431516111037",,,,,,,,,,,,
,,Kirche Jesu Christi der Heiligen der letzten Tage (Mormonen) in Österreich,Kirche Jesu Christi der Heiligen der letzten Tage (Mormonen) in Österreich,,,Böcklinstraße 55,Wien,,1020,Wien,AUSTRIA,,,kirchen_privat_12_18-08-2020,,,info@hlt.at,"Phone: +436641351715, Fax: +431890629315",,,,,,,,,,,,
,,Koptisch-orthodoxe Kirche in Österreich,Koptisch-orthodoxe Kirche in Österreich,,,Quadenstrasse 4-6,Wien,,1220,Wien,AUSTRIA,,,kirchen_privat_13_18-08-2020,,,info@kopten.at,"Phone: +4312827443, Fax: +4312827443",,,,,,,,,,,,
,,Neuapostolische Kirche in Österreich,Neuapostolische Kirche in Österreich,,,"Mittersteig 10, Postfach 49",Wien,,1050,Wien,AUSTRIA,,,kirchen_privat_14_18-08-2020,,,info@nak.at,"Phone: +4315860521, Fax: +431586052130",,,,,,,,,,,,
,,Österreichische Buddhistische Religionsgesellschaft,Österreichische Buddhistische Religionsgesellschaft ,,,Fleischmarkt 16,Wien,,1010,Wien,AUSTRIA,,,kirchen_privat_15_18-08-2020,,,office@buddhismus-austria.at,"Phone: +4315123719, Fax: +431512371913",,,,,,,,,,,,
,,Alt-Alevitische Glaubensgemeinschaft in Österreich,Alt-Alevitische Glaubensgemeinschaft in Österreich,,,Kennergasse 10/R1,Wien,,1100,Wien,AUSTRIA,,,kirchen_privat_17_18-08-2020,,,info@alt-aleviten.at,"Phone: , Fax: ",,,,,,,,,,,,
,,Bahá´í-Religionsgemeinschaft in Österreich,Bahá´í-Religionsgemeinschaft in Österreich ,,,Maroltingergasse 2,Wien,,1140,Wien,AUSTRIA,,,kirchen_privat_18_18-08-2020,,,ngr@at.bahai.org,"Phone: +4314791153, Fax: +431479115319",,,,,,,,,,,,
,,Die Christengemeinschaft-Bewegung für Religiöse Erneuerungen in Österreich,Die Christengemeinschaft-Bewegung für Religiöse Erneuerungen in Österreich ,,,Mariahilferstraße 49/2/30,Wien,,1060,Wien,AUSTRIA,,,kirchen_privat_19_18-08-2020,,,wien@christengemeinschaft.at,"Phone: +4315871287, Fax: ",,,,,,,,,,,,
,,Hinduistische Religionsgesellschaft in Österreich,Hinduistische Religionsgesellschaft in Österreich ,,,Lammgasse 1,Wien,,1080,Wien,AUSTRIA,,,kirchen_privat_20_18-08-2020,,,info@hroe.at,"Phone: , Fax: ",,,,,,,,,,,,
,,Islamisch-Schiitische Glaubensgemeinschaft in Österreich,Islamisch-Schiitische Glaubensgemeinschaft in Österreich,,,Pezzlgasse 58,Wien,,1170,Wien,AUSTRIA,,,kirchen_privat_21_18-08-2020,,,office@schia.at,"Phone: +43699111979350, Fax: ",,,,,,,,,,,,
,,Kirche der Siebenten-Tags-Adventisten in Österreich,Kirche der Siebenten-Tags-Adventisten in Österreich ,,,Prager Straße 287,Wien,,1210,Wien,AUSTRIA,,,kirchen_privat_22_18-08-2020,,,office@adventisten.at,"Phone: +4313199301, Fax: +4313199301199",,,,,,,,,,,,
,,Pfingstkirche Gemeinde Gottes in Österreich,Pfingstkirche Gemeinde Gottes in Österreich,,,Maculangasse 9,Wien,,1220,Wien,AUSTRIA,,,kirchen_privat_23_18-08-2020,,,office@gemeindegottes.at,"Phone: , Fax: ",,,,,,,,,,,,
,,Vereinigungskirche in Österreich,Vereinigungskirche in Österreich,,,Seidengasse 28/4,Wien,,1070,Wien,AUSTRIA,,,kirchen_privat_24_18-08-2020,,,office@vereinigungskirche.at,"Phone: +436645238794, Fax: ",,,,,,,,,,,,
,,Vereinigte Pfingstkirche Österreichs,Vereinigte Pfingstkirche Österreichs (VPKÖ),,,Simmeringer Hauptstraße 2,Wien,,1110,Wien,AUSTRIA,,,kirchen_privat_25_18-08-2020,,,office@vpkoe.at,"Phone: , Fax: ",,,,,,,,,,,,
,,UniCredit Bank Austria,UniCredit Bank Austria AG,,,Rothschildplatz 1,Wien,,1020,Wien,AUSTRIA,,,banken_privat_1_18-08-2020,,,info@unicreditgroup.at,"Phone: +435050525, Fax: +435050556155",,,,,,,,,,,,
,,BAWAG PSK,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,,,Wiedner Gürtel 11,Wien,,1100,Wien,AUSTRIA,,,banken_privat_2_18-08-2020,,,kundenservice@bawagpsk.com,"Phone: +4359905, Fax: ",,,,,,,,,,,,
,,Erste Bank und Sparkasse,Erste Bank der oesterreichischen Sparkassen AG,,,Am Belvedere 1,Wien,,1100,Wien,AUSTRIA,,,banken_privat_3_18-08-2020,,,service@s-servicecenter.at,"Phone: +435010020111, Fax: +4350100910100",,,,,,,,,,,,
